,City,Country,Date,Visibility,Lon,Lat,Main Temp,Temp Feels Like,Temp Min,Temp Max,Pressure,Humidity,Wind Speed,Wind Degree,Cloudiness
0,Abalak,RU,1653189129,10000,68.5944,58.1286,51.13,49.48,51.13,51.13,993,75,10.71,199,100
1,Acahay,PY,1653189143,10000,-57.15,-25.9167,52.21,51.37,52.21,52.21,1021,90,3.98,80,28
2,Adrar,MR,1653189144,10000,-10.0711,20.5022,87.75,84.06,87.75,87.75,1008,10,6.11,98,0
3,Ahipara,NZ,1653189144,10000,173.1667,-35.1667,62.94,62.08,62.94,62.94,1016,67,12.21,236,100
4,Airai,TL,1653189144,10000,125.4092,-8.9266,74.32,73.65,74.32,74.32,1011,47,4.59,129,23
5,Aitape,PG,1653188914,10000,142.3475,-3.1374,83.37,91.62,83.37,83.37,1009,78,5.32,15,100
6,Aklavik,CA,1653189145,10000,-135.0107,68.2191,35.38,30.56,35.38,35.38,1029,85,5.61,34,99
7,Aksay,RU,1653189145,10000,39.87,47.26,59.25,58.82,59.22,59.25,1007,84,20.0,240,100
8,Albany,US,1653189145,10000,-73.9662,42.6001,72.72,73.69,68.63,76.78,1017,85,2.95,243,48
9,Alexandria,EG,1653189077,10000,29.9553,31.2156,65.98,65.25,65.98,65.98,1012,63,14.67,252,0
10,Alice Springs,AU,1653189145,10000,133.8833,-23.7,69.22,67.35,67.55,69.22,1004,32,10.36,90,0
11,Alindao,CF,1653189146,10000,21.2088,5.0267,69.8,70.57,69.8,69.8,1012,87,0.29,276,100
12,Aljezur,PT,1653189146,10000,-8.8033,37.3191,62.42,62.46,62.42,62.42,1016,87,10.58,280,100
13,Almansa,ES,1653189146,10000,-1.0971,38.8692,68.58,66.16,68.58,68.58,1015,22,5.48,176,68
14,Alofi,NU,1653189147,10000,-169.9187,-19.0595,79.23,79.23,79.23,79.23,1013,74,7.74,83,24
15,Alta Gracia,AR,1653189113,10000,-64.4283,-31.6529,47.88,46.71,43.57,47.88,1021,42,3.65,305,0
16,Amapá,BR,1653189147,10000,-52.0,1.0,71.35,72.84,71.35,71.35,1017,99,1.32,116,100
17,Ambon City,ID,1653189147,10000,128.1814,-3.6954,87.94,97.93,87.94,87.94,1009,66,3.44,80,40
18,Ambulu,ID,1653189148,10000,113.6058,-8.345,84.69,89.94,84.69,84.69,1010,64,1.39,130,72
19,Ancud,CL,1653189148,2804,-73.8203,-41.8697,53.19,52.66,53.19,53.19,1007,95,25.68,339,100
20,Anking,CN,1653189148,10000,117.0506,30.5092,79.12,79.12,79.12,79.12,1008,56,1.01,202,100
21,Aras,ES,1653189149,10000,-2.356,42.5617,64.71,63.7,61.75,64.81,1014,60,3.44,150,0
22,Arcata,US,1653189149,10000,-124.0828,40.8665,52.5,51.35,49.39,54.19,1020,83,10.36,320,0
23,Ardakān,IR,1653189149,10000,54.0175,32.31,65.43,63.27,65.43,65.43,1014,34,10.04,342,28
24,Ariquemes,BR,1653189000,10000,-63.0408,-9.9133,67.96,68.36,67.96,67.96,1017,83,0.85,101,0
25,Arman',RU,1653188983,6635,150.1667,59.7,44.02,41.81,44.02,44.02,1020,94,4.18,231,100
26,Arona,ES,1653189153,10000,-16.681,28.0996,60.62,59.81,56.57,62.13,1018,73,9.22,60,0
27,Arraial do Cabo,BR,1653188905,10000,-42.0278,-22.9661,69.31,69.28,69.31,69.31,1024,71,6.15,65,17
28,Asău,RO,1653189153,10000,26.4,46.4333,59.94,58.41,56.28,59.95,1020,59,1.07,238,96
29,Asmara,ER,1653189153,10000,38.9333,15.3333,62.22,59.32,62.22,62.22,1014,25,3.83,248,12
30,Āsosa,ET,1653189154,10000,34.5333,10.0667,62.04,62.08,62.04,62.04,1014,88,2.77,148,100
31,Atasū,KZ,1653189154,10000,71.6433,48.6814,51.69,49.57,51.69,51.69,1008,64,16.6,251,100
32,Atuona,PF,1653189154,10000,-139.0333,-9.8,77.81,78.91,77.81,77.81,1014,77,8.46,61,21
33,Auxerre,FR,1653189154,10000,3.5667,47.8,53.64,52.97,53.64,53.64,1016,91,5.75,47,98
34,Avarua,CK,1653189155,10000,-159.775,-21.2078,78.85,78.85,78.85,78.85,1013,78,5.75,90,75
35,Ayan,RU,1653189155,10000,138.1667,56.45,33.33,25.79,33.33,33.33,1015,97,9.22,37,100
36,Aykhal,RU,1653189155,10000,111.5,66.0,53.55,50.95,53.55,53.55,1006,50,5.86,61,17
37,Babīna,IN,1653189156,10000,78.4667,25.25,93.87,94.68,93.87,93.87,997,35,21.25,276,3
38,Bajil,YE,1653189156,10000,43.2851,15.0584,85.28,86.11,85.28,85.28,1007,47,2.89,257,30
39,Bambari,CF,1653189156,10000,20.6757,5.768,71.15,71.91,71.15,71.15,1012,84,0.51,1,99
40,Bambous Virieux,MU,1653189156,10000,57.7575,-20.3428,70.21,70.5,70.21,70.21,1019,76,12.15,115,19
41,Banda Aceh,ID,1653189157,10000,95.3222,5.5577,85.77,94.08,85.77,85.77,1009,69,15.14,217,14
42,Bandarbeyla,SO,1653188932,10000,50.8122,9.4942,80.38,85.37,80.38,80.38,1007,82,19.64,208,100
43,Bañón,ES,1653189158,10000,-1.1909,40.8382,61.86,60.94,61.38,61.86,1015,68,5.75,200,0
44,Bar Harbor,US,1653189158,402,-68.2039,44.3876,53.82,53.28,51.91,57.52,1017,93,5.75,100,100
45,Barinas,VE,1653189159,10000,-70.2075,8.6226,76.82,76.84,76.82,76.82,1016,56,4.14,305,0
46,Barrow,US,1653189159,10000,-156.7887,71.2906,21.22,10.87,21.22,21.22,1033,93,9.22,80,100
47,Basco,PH,1653189159,10000,121.9702,20.4487,80.53,84.88,80.53,80.53,1008,77,11.07,84,57
48,Bathsheba,BB,1653189159,10000,-59.5167,13.2167,81.21,86.52,81.21,81.21,1018,78,20.71,90,40
49,Baturaja,ID,1653189160,10000,104.1667,-4.1333,86.97,95.59,86.97,86.97,1009,66,1.32,294,53
50,Belle Fourche,US,1653189161,10000,-103.8522,44.6714,38.37,33.67,35.44,40.32,1028,78,6.22,297,73
51,Bendigo,AU,1653189137,10000,144.2833,-36.7667,67.86,66.31,62.64,67.86,1025,42,0.27,136,0
52,Bengkulu,ID,1653189163,10000,102.2655,-3.8004,83.64,88.54,83.64,83.64,1010,66,2.8,280,33
53,Berdigestyakh,RU,1653189015,10000,126.6992,62.0989,59.63,56.93,59.63,59.63,1006,35,1.39,304,93
54,Beringovskiy,RU,1653189163,7437,179.3167,63.05,38.28,31.53,38.28,38.28,1020,83,9.95,1,100
55,Berlevåg,NO,1653189163,10000,29.0864,70.8578,40.95,37.06,37.2,40.95,1012,87,5.75,140,100
56,Bethel,US,1653189163,10000,-73.414,41.3712,71.42,71.98,66.56,75.29,1016,79,0.0,0,0
57,Biak,ID,1653189164,10000,122.8766,-0.9131,82.81,87.26,82.81,82.81,1010,67,5.26,222,31
58,Bida,NG,1653189164,10000,6.0167,9.0833,75.51,76.71,75.51,75.51,1012,84,2.86,217,75
59,Bilma,NE,1653189164,10000,12.9164,18.6853,80.08,78.44,80.08,80.08,1012,16,11.45,74,2
60,Birao,CF,1653189165,10000,22.7882,10.2849,76.37,76.86,76.37,76.37,1011,67,3.2,203,100
61,Birjand,IR,1653189165,2500,59.2211,32.8663,64.87,62.74,64.87,64.87,1014,36,6.91,140,58
62,Blairmore,CA,1653189165,10000,-114.4353,49.6,39.52,39.52,39.52,39.52,1025,80,1.9,85,86
63,Bluff,NZ,1653189165,10000,168.3333,-46.6,48.92,41.45,48.92,48.92,1004,62,24.18,248,71
64,Boende,CD,1653189166,10000,20.8667,-0.2167,69.98,70.92,69.98,69.98,1012,90,0.98,167,99
65,Bonthe,SL,1653189166,10000,-12.505,7.5264,76.28,77.85,76.28,76.28,1013,90,4.21,299,100
66,Borba,BR,1653189166,10000,-59.5939,-4.3878,71.78,73.17,71.78,71.78,1016,96,2.55,11,81
67,Bouna,CI,1653189167,10000,-3.0,9.2667,73.65,74.89,73.65,73.65,1012,89,4.18,187,100
68,Bowen,AU,1653189167,10000,148.2333,-20.0167,77.85,78.44,77.85,77.85,1013,66,12.24,135,55
69,Boyolangu,ID,1653189167,10000,111.8935,-8.1181,84.45,90.12,84.45,84.45,1010,66,1.74,82,36
70,Bredasdorp,ZA,1653189167,10000,20.0403,-34.5322,51.51,50.36,51.51,51.51,1024,85,5.93,322,50
71,Bria,CF,1653189168,10000,21.9863,6.5423,69.49,70.23,69.49,69.49,1012,87,1.12,268,100
72,Bulgan,MN,1653189168,10000,103.5347,48.8125,65.1,62.96,65.1,65.1,1012,35,3.09,215,74
73,Bull Savanna,JM,1653189168,10000,-77.5902,17.8868,74.14,75.43,74.14,74.14,1019,89,12.17,86,86
74,Burgeo,CA,1653189168,10000,-57.6152,47.6167,46.6,43.61,46.6,46.6,1023,74,6.02,205,75
75,Buritizeiro,BR,1653189169,10000,-44.9622,-17.3511,55.89,53.67,55.89,55.89,1022,53,2.75,153,0
76,Burns Lake,CA,1653189077,10000,-125.7533,54.2331,55.92,53.24,55.92,55.92,1020,43,2.51,232,39
77,Busselton,AU,1653189169,10000,115.3333,-33.65,67.5,67.28,67.5,67.5,1002,71,19.64,16,22
78,Butaritari,KI,1653189169,10000,172.7902,3.0707,81.23,86.76,81.23,81.23,1009,79,11.07,136,86
79,Byron Bay,AU,1653189169,10000,153.6167,-28.65,62.71,62.49,62.71,62.71,1020,81,13.65,139,96
80,Cabo San Lucas,MX,1653188954,10000,-109.9124,22.8909,70.61,70.57,70.52,74.61,936,68,5.01,309,1
81,Cairns,AU,1653189170,10000,145.7667,-16.9167,82.78,87.69,80.55,86.07,1011,69,10.36,150,75
82,Calama,CL,1653189170,10000,-68.9333,-22.4667,45.09,38.68,45.09,45.09,1032,29,13.8,120,0
83,Calderitas,MX,1653189170,10000,-88.25,18.55,84.31,94.44,84.31,84.31,1015,79,16.11,100,75
